,CommonName,Longitude,Latitude,Landmark,LSOA
410,Hillfoot Avenue,-2.864295604,53.35798049,Hillfoot Avenue,E01006537
411,Millstead Raod,-2.908974387,53.39999525,,E01006586
412,Millstead Raod,-2.912481125,53.3994022,,E01006586
413,Broad Lane,-2.932723343,53.44125074,,E01006603
414,Utting Avenue East,-2.932201235,53.44147055,Broad Lane,E01006603
415,Daneville Road,-2.933748208,53.4419888,Daneville Road,E01006732
416,Lorenzo Drive,-2.928339504,53.44319053,Lorenzo Drive,E01033759
417,Parthenon Drive,-2.927822834,53.44366196,Parthenon Drive,E01006731
418,Millstead Raod,-2.909063081,53.39992267,,E01006586
419,Roskell Road,-2.856589634,53.36182938,,E01006531
420,Haileybury Road,-2.862258188,53.36720886,,E01006531
421,Sutton Wood Road,-2.85521821,53.3428726,,E01006741
422,Lovel Road,-2.849084681,53.33958152,,E01006753
423,Eastern Avenue,-2.829585686,53.34554353,,E01006756
424,Dungeon Lane,-2.831989097,53.33783228,Dove and Olive Branch,E01006757
425,Dungeon Lane,-2.831721778,53.33798696,Dove and Olive Branch,E01006757
426,Carley Walk,-2.836444117,53.33832248,,E01006757
427,Carley Walk,-2.836755239,53.33810457,Dungeon Lane,E01006739
428,Bramley Walk,-2.844508998,53.3383196,Pegasus PH,E01006741
429,Bramley Walk,-2.843912069,53.33851259,,E01006753
430,Liverpool John Lennon Airport,-2.854484825,53.33774517,Speke Hall Avenue,E01006741
431,Liverpool John Lennon Airport,-2.854665199,53.33775287,Speke Hall Avenue,E01006741
432,Linkside Road,-2.852401209,53.371064,,E01006530
433,East Mill Wood Road,-2.828996108,53.34534987,East Millwood Road,E01006756
434,Shaw Road,-2.847017244,53.35196497,,E01006741
435,Shaw Road,-2.846837346,53.35198423,,E01006741
436,Fleming Road,-2.853021991,53.35474471,,E01006538
437,Alderman Road,-2.853611268,53.35491128,,E01006537
438,Millstead Raod,-2.912389361,53.39933099,,E01006586
439,Gaskill Road,-2.850167918,53.34948859,,E01006741
440,Heath Gate Avenue,-2.829438017,53.34103212,,E01006757
441,Bourton Road,-2.860486579,53.3583496,,E01006537
442,Utting Avenue East,-2.913673506,53.44941603,Cottesbrook Road,E01006734
443,Worrow Road,-2.908267216,53.45150671,,E01006664
444,Lower House Lane,-2.913330127,53.44955349,,E01006662
445,Liverpool John Lennon Airport,-2.854860229,53.33774249,Speke Hall Avenue,E01006741
446,Liverpool John Lennon Airport,-2.85430499,53.33776444,Speke Hall Avenue,E01006741
447,Camberley Drive,-2.852895283,53.3679593,Holy Family Catholic Church,E01006530
448,Central Way,-2.829635686,53.34115659,Central Way,E01006755
449,Alder Wood Avenue,-2.829488627,53.34286551,Alderwood Avenue,E01006756
450,Hillfoot Avenue,-2.86514264,53.35899908,Asda Supermarket,E01006537
451,Roskell Road,-2.853317919,53.36278766,,E01006538
452,Hunts Cross Station,-2.855385563,53.35948292,Hunts Cross Station,E01006538
453,Hunts Cross Station,-2.856340894,53.35991652,Hunts Cross Station,E01006538
454,Hunts Cross Station,-2.854707693,53.35939789,,E01006538
455,Hunts Cross Station,-2.855914639,53.35964093,Hunts Cross Station,E01006538
456,Alder Wood Avenue,-2.829246943,53.34279528,Alderwood Avenue,E01006757
457,Mill Wood Road,-2.829384144,53.34599438,The Orient Public House,E01006756
458,Etal Close,-2.906437439,53.44336776,,E01006672
459,Queens Drive,-2.900342361,53.40147193,,E01006577
460,Field Way,-2.899985613,53.40167237,,E01006577
461,Gaskill Road,-2.849979987,53.34985847,Evans Medical Factory,E01006741
462,County Boundary,-2.829782226,53.33787462,,E01006757
463,County Boundary,-2.829857307,53.3378741,,E01006757
464,Greenacre Road,-2.856846513,53.36414667,,E01006531
465,Springwood Avenue,-2.866642313,53.36033654,Hillfoot PH,E01006537
466,School Lane,-2.866563295,53.36088543,Hillfoot PH,E01006537
467,Allerton Cemetery,-2.876698955,53.36199793,Allerton Cemetery,E01006535
468,Allerton Cemetery,-2.877108866,53.36220166,Allerton Cemetery,E01006535
469,Jeudwine Close,-2.862568888,53.36770999,,E01006533
470,Salisbury Street,-2.970915873,53.41476171,,E01006646
471,Langsdale Street,-2.970120662,53.41353669,,E01006646
472,Langsdale Street,-2.970133863,53.41345569,,E01033758
473,Thingwall Lane,-2.892059682,53.41463986,,E01006567
474,Hood street,-2.983506713,53.40814168,Queen Square Bus Station,E01033760
475,William Henry Street,-2.969050566,53.41477686,Whitley Gardens,E01006646
476,William Henry Street,-2.969733105,53.4156792,Whitley Gardens,E01006646
477,Benson Street,-2.975904606,53.40462648,Car Park,E01006513
478,Etal Close,-2.90759815,53.44414097,,E01006672
479,Aintree Hospital,-2.92842237,53.46562597,,E01006660
480,Everton Brow,-2.973985533,53.41609403,,E01006648
481,Adelphi Hotel,-2.97564583,53.40514995,Adelphi Hotel,E01006513
482,Adelphi Hotel,-2.97704614,53.40521041,Lime Street,E01006513
483,Muir Road,-2.941931956,53.46075614,,E01006659
484,Salisbury Street,-2.970974406,53.41468932,,E01006646
485,Strand Street,-2.990657598,53.40189817,Hartley Quay,E01033756
486,Preston Street,-2.984219422,53.4083875,Preston Street,E01033760
487,Whinfield Road,-2.971636218,53.46283733,Whinfield Road,E01006786
488,Moss Lane,-2.973650731,53.46266811,Moss Lane,E01006786
489,Knighton Road,-2.938786266,53.44242571,,E01006612
490,Lower Lane Turning Point,-2.920087169,53.45564098,,E01006660
491,Abbotsbury Way,-2.881630912,53.45306361,,E01006666
492,Mount Pleasant,-2.967840638,53.40588766,Mount Pleasant,E01006513
493,Dale Street,-2.98667901,53.41001217,Merseytravel,E01033755
494,Dale Street,-2.985745162,53.40866256,Victoria Street,E01033762
495,James Street Station,-2.991899366,53.40484522,James Street Station,E01033752
496,Roscoe Street,-2.97445896,53.40192363,Burnt-Out Church,E01006513
497,Castle Street,-2.990215583,53.40618057,Castle Street,E01033752
498,World Museum,-2.980708478,53.40944113,Liverpool Museum,E01033760
499,Gribble Road,-2.916070064,53.4663146,,E01006658
500,Hawke Street,-2.975469265,53.40532218,Adelphi Hotel,E01006513
501,Trowbridge Street,-2.971356849,53.40572426,,E01006747
502,Mount Pleasant,-2.967483358,53.40605235,Liverpool University,E01006747
503,Everton Brow,-2.973671062,53.41615952,,E01006648
504,Mount Pleasant,-2.967605696,53.40348952,Liverpool Medical Institution,E01006513
505,Bedford Street North,-2.964819646,53.40334128,Liverpool University,E01006513
506,Bedford Street North,-2.964529842,53.40316384,Liverpool University,E01006512
507,Adelphi Hotel,-2.977211367,53.40520007,Adelphi Hotel,E01006513
508,Countess Park,-2.900736692,53.44717721,,E01006669
509,Countess Park,-2.90095887,53.44771486,,E01006669
510,Formosa Drive,-2.922732197,53.46649703,,E01006653
511,Formosa Drive,-2.922713431,53.46632639,,E01006653
512,Gribble Road,-2.916148661,53.4664668,,E01006658
513,James Street Station,-2.991184588,53.40515678,James Street Station,E01033752
514,Chapel Street,-2.991383062,53.40786979,Andersons Bar,E01033752
515,Union Court,-2.989781936,53.40629203,Piccolinos,E01033752
516,North John Street,-2.989123525,53.40644131,The Slug And Lettuce,E01033752
517,Whitechapel,-2.983623511,53.40798791,,E01033760
518,Fox Street,-2.976755755,53.41617028,,E01033764
519,Fox Street,-2.976652924,53.41627899,,E01006648
520,Smithdown Lane,-2.96155469,53.40530024,Paddington,E01006751
521,St Johns Garden,-2.981691998,53.40838134,St Johns Garden,E01033760
522,Fraser Street,-2.976675872,53.40940228,O2 Academy,E01033758
523,Wilde Street,-2.97589354,53.40939969,O2 Academy,E01033758
524,Lord Nelson Street,-2.978909092,53.40838622,Empire Theatre,E01033760
525,Great Charlotte Street,-2.980095092,53.40631802,St Johns Market,E01033760
526,Lime Street,-2.979872181,53.40643671,St Johns Market,E01033760
527,Crown Street,-2.963663667,53.40610123,Veterinary School of Science,E01006513
528,Brownlow Hill,-2.961799985,53.40550501,Paddington,E01006751
529,Upper Newington Street,-2.976991753,53.40480635,The Beehive PH,E01033756
530,Arrad Street,-2.968627112,53.4034273,Liverpool Medical Institution,E01006513
531,Halls Of Residence,-2.928370577,53.38522103,Halls of Residence,E01006551
532,Toxteth Street,-2.969961396,53.38471948,,E01006632
533,Sprainger Street,-2.996319978,53.4169974,,E01006776
534,Vandries Street,-2.996520919,53.41658223,,E01006776
535,Paisley Street,-2.996742324,53.41318257,Waterloo Dock,E01033751
536,Great Richmond Street,-2.977929079,53.41353591,Police Station,E01006648
537,Ranelagh Street,-2.978044295,53.40478875,Ranlagh Street,E01033756
538,Newington,-2.977951997,53.40469961,Ranelagh Street,E01033756
539,Lanyork Road,-2.994099782,53.41405855,,E01033751
540,Lanyork Road,-2.994049465,53.41448145,,E01033751
541,Vauxhall Road,-2.990714397,53.41663954,,E01006776
542,Vauxhall Road,-2.990861487,53.4164945,,E01033751
543,Limekiln Lane,-2.985876601,53.41564586,,E01033751
544,Vauxhall Road,-2.987079003,53.41559099,,E01033751
545,Edgar Street,-2.983924738,53.41452037,,E01033751
546,Harbord Street,-2.954223955,53.40439725,,E01033763
547,New Henderson Street,-2.974345377,53.38839621,,E01033765
548,Upper Mann Street,-2.97591464,53.38797888,,E01033765
549,Northumberland Grove,-2.978837497,53.38823361,,E01033765
550,Ashton Street,-2.966862626,53.40852933,Dental Hospital,E01006747
551,Salthouse Quay,-2.989568025,53.39966896,Albert Dock,E01033756
552,Salthouse Quay,-2.990732588,53.39929974,Albert Dock,E01033750
553,Elliot Street,-2.979085775,53.40625439,Cann Cinema,E01033760
554,Lime Street Station,-2.978737591,53.40615837,Copperas Hill,E01033760
555,Brunswick Street,-2.99608438,53.40434295,Cunard Buildings,E01033752
556,Baysdale Close,-2.962842067,53.38304226,,E01006633
557,Derby Lane,-2.914373285,53.41960369,,E01006719
558,Derby Lane,-2.914429607,53.41591783,,E01032508
559,Barrymore Road,-2.925768051,53.41494055,Barrymore Road,E01006711
560,Harrington Road,-2.977554086,53.38209568,Brunswick Business Park,E01033748
561,Royden Way,-2.97448046,53.37982863,Brunswick Business Park,E01033748
562,Columbus Quay,-2.974812157,53.37987087,Brunswick Business Park,E01033748
563,Park Road,-2.970354523,53.39076584,,E01006518
564,Acorn Court,-2.969954318,53.39102079,,E01006518
565,Aigburth Vale,-2.935101417,53.37402221,,E01006521
566,Aigburth Vale,-2.935466831,53.37423508,,E01006521
567,Aigburth Vale,-2.934425917,53.37406345,Aigburth Road,E01006521
568,Gorselands Court,-2.934134591,53.37448821,Fulwood Motor Company,E01006521
569,Darby Grove,-2.904160649,53.35667829,,E01006744
570,Webster Road,-2.941687135,53.39863604,,E01006720
571,Falkner Street,-2.95740835,53.39950875,Neighbourhood Centre,E01006751
572,Chancellor Court,-2.957363746,53.3988619,Neighbourhood Centre,E01006512
573,Moscow Drive,-2.915432489,53.42337989,,E01006717
574,Mill Bank,-2.918460837,53.4277342,Holly Lodge School,E01006617
575,Hewitson Road,-2.922233504,53.42959278,Larkhill Library,E01006618
576,Liberty Street,-2.929560868,53.39637599,,E01006721
577,Quarry Road,-2.915947587,53.42494,,E01006768
578,Addison Way,-2.98542085,53.41285407,Addison Way,E01006648
579,Smithdown Road,-2.933055885,53.39321159,,E01006557
580,Jamieson Road,-2.930706841,53.39513558,,E01006723
581,Wavertree Station,-2.923959428,53.4036915,,E01006725
582,Sapphire Street,-2.920135684,53.40702894,,E01006716
583,Wavertree Station,-2.921734382,53.40583007,,E01006692
584,North Drive,-2.915144889,53.42400232,Fourth Church of Christ Scientist,E01006621
585,Holy Cross Close,-2.984261158,53.41280072,,E01006648
586,Lace Street,-2.983756371,53.41178913,,E01033762
587,Great Croshall Street,-2.983479399,53.41152174,,E01006648
588,Roxburgh Avenue,-2.943021728,53.37669252,Roxburgh Avenue,E01006523
589,Brownlow Hill,-2.977542641,53.40455914,Brownlow Hill,E01006513
590,Upper Newington Street,-2.977326736,53.4043272,Lewiss,E01006513
591,Hereford Road,-2.914841043,53.39232786,,E01006590
592,Beverley Road,-2.915205944,53.39321496,The Bluecoat School,E01006588
593,Fir Lane,-2.915525008,53.39546872,Wavertree School for the Blind,E01006588
594,Woolton Road,-2.915222925,53.39470699,Holy Trinity Church Hall,E01006588
595,North John Street,-2.988603835,53.40608606,,E01033752
596,Smithdown Place,-2.914834868,53.38923572,Penny Lane,E01006593
597,Water Street,-2.99333026,53.40621762,,E01033752
598,Rutland Avenue,-2.936648125,53.38970475,York Avenue,E01006554
599,Admiral Street,-2.964850282,53.38807783,Our Lady of Mount Carmel Primary School,E01006678
600,Garmoyle Road,-2.931923103,53.39436203,,E01006723
601,Greenock Street,-2.998310799,53.41270204,Costco,E01033751
602,Roberts Street,-2.997781385,53.41258062,Costco,E01033751
603,Beresford Road,-2.967047504,53.38352063,,E01006632
604,Beaufort Street,-2.976454766,53.3898981,,E01033765
605,Upper Mann Street,-2.977064984,53.38962344,Upper Mann Street,E01033765
606,Eversley Street,-2.955410323,53.39491344,,E01006679
607,Cairns Street,-2.954606023,53.39257377,,E01006679
608,Jermyn Street,-2.954379444,53.39185646,,E01006674
609,Birt Close,-2.956027623,53.39695797,The Windsor PH,E01006679
610,Grove Park,-2.94959963,53.39060018,Greenheys Road,E01006675
611,Ivanhoe Road,-2.948556494,53.38088245,,E01006522
612,Ullet Road,-2.951072642,53.38450295,,E01006520
613,Ivanhoe Road,-2.949060711,53.38124699,,E01006520
614,Mapledale Road,-2.909736081,53.38705443,,E01006596
615,Addingham Road,-2.905473681,53.38741944,,E01006592
616,Addingham Road,-2.90496445,53.38751319,Banks Road,E01006592
617,Calder Drive,-2.900320906,53.38620896,Calder Drive,E01006597
618,Duke Street,-2.971434558,53.39791225,Liverpool Anglican Cathedral,E01006514
619,Exhibition Centre Liverpool,-2.990921805,53.39514528,Queens Wharf,E01033756
620,Exhibition Centre Liverpool,-2.991114764,53.39503581,Queens Wharf,E01033750
621,Liverpool Echo Arena,-2.992390591,53.39751515,Liverpool Echo Arena,E01033756
622,Wyndcote Road,-2.908265198,53.38788363,,E01006592
623,Auckland Road,-2.914331803,53.38961711,Church of Wales,E01006590
624,Church Road,-2.913948617,53.3899796,,E01006590
625,Sefton Park Road,-2.948004295,53.38918362,,E01006549
626,Church Road,-2.914534354,53.39485609,,E01006589
627,Ensworth Road,-2.909651247,53.38730677,Ensworth Road,E01006591
628,Druidsville Road,-2.889015211,53.38192511,Druidsville Road,E01006796
629,Gwent Street,-2.962010752,53.39284691,,E01006673
630,Pomfret Street,-2.96247461,53.39274429,,E01006673
631,Brook Street,-2.996894473,53.41068238,Livrpool Echo Offices,E01033753
632,Old Leeds Street,-2.995924982,53.41104104,Lancaster House,E01033753
633,Edmund Street,-2.994752262,53.40978337,Livrpool Echo Offices,E01033752
634,Great Howard Street,-2.997318992,53.41082265,,E01033753
635,Ashfield Road,-2.93458828,53.37392735,,E01006521
636,Whitechapel,-2.985149611,53.40697755,Met Quarter,E01033760
637,Falkland Street,-2.969156112,53.41015571,Falkland Arms Ph,E01033758
638,Gildart Street,-2.970474415,53.40991129,Falkland Arms PH,E01033758
639,Islington,-2.978629969,53.40998853,Liverpool Museum,E01006648
640,College Street South,-2.967883511,53.41241326,,E01006646
641,College Street South,-2.968298424,53.41279642,,E01033758
642,Dove Street,-2.952526907,53.3971118,St Clements Church,E01006679
643,Water Street,-2.992196239,53.40661357,,E01033752
644,Upper Newington,-2.977280177,53.40426466,Lewiss,E01006513
645,Benson Street,-2.976569645,53.40345248,Benson Street,E01033756
646,Gardners Row,-2.985122956,53.41428577,,E01033751
647,Vauxhall Road,-2.988341961,53.41230857,,E01033751
648,Waldron Close,-2.987354195,53.41253248,,E01033751
649,Stephenson Way,-2.929761285,53.40487793,Wavertree Technology Park,E01006692
650,Wavertree  Station,-2.927650104,53.40532582,Wavertree Technology Park,E01006692
651,Beloe Street,-2.9656385,53.38105109,,E01006633
652,Cockburn Street,-2.968218313,53.38078748,,E01033767
653,Beresford Road,-2.96689515,53.38343197,,E01006632
654,Yanwath Street,-2.949582696,53.39794426,,E01006556
655,Grierson Street,-2.949745148,53.3964598,The Dart PH,E01006679
656,Ritson Street,-2.949473178,53.39437653,The Grosver PH,E01006674
657,Liverpool Echo Arena,-2.992767762,53.39756595,Liverpool Echo Arena,E01033756
658,Chatham Street,-2.96526241,53.40097361,Liverpool University,E01006512
659,Mariners Wharf,-2.989480752,53.39266729,Coburg Wharf,E01033750
660,Mariners Wharf,-2.989130989,53.3924994,Mariners Wharf,E01033750
661,Sefton Park Road,-2.948665785,53.38917837,Sefton Park Road,E01006549
662,Princes Street,-2.988273341,53.40675398,The Filling Station,E01033760
663,Temple Lane,-2.987930131,53.40687368,Pizza Express,E01033760
664,Temple Street,-2.987602168,53.40700224,The Living Room,E01033760
665,Cumberland Street,-2.98667905,53.40741437,Shangri La,E01033760
666,School Lane,-2.98269299,53.40416629,Tesco,E01033756
667,Gradwell Street,-2.983921937,53.4033202,Tesco,E01033756
668,College Lane,-2.983079444,53.40396535,Tesco,E01033756
669,Princes Parade,-2.997608466,53.40647858,,E01033753
670,St Nicholas Place,-2.998816068,53.40665725,,E01033752
671,Shaw Street,-2.96687162,53.41224168,,E01006646
672,Princes Dock,-2.999912914,53.40852675,Princes Dock,E01033753
673,Princes Dock,-3.00040117,53.4088193,Princes Dock,E01033752
674,Queens Drive,-2.90824068,53.38814449,,E01006592
675,James Street Station,-2.990735289,53.40524141,Lower Castle Street,E01033752
676,James Street Station,-2.991760459,53.40469356,James Street Station,E01033752
677,James Street Station,-2.991735607,53.40491849,James Street Station,E01033752
678,Brunswick Way,-2.981334604,53.38501303,South Wharf,E01033748
679,Atlantic Way,-2.981497064,53.38488585,South Wharf,E01033748
680,Pilgrim Street,-2.972316045,53.39897476,Anglican Cathedral,E01006514
681,Pilgrim Street,-2.972870577,53.39888934,Anglican Cathedral,E01006514
682,Mansfield Street,-2.977339542,53.41341489,Police Station,E01006648
683,Ashbourne Road,-2.939111875,53.37525816,,E01006521
684,Fenwick Street,-2.992614634,53.40649324,Lloyds Bank,E01033752
685,Embledon Street,-2.951916623,53.39739533,St Clements Church,E01006679
686,Merebank Court,-2.931641982,53.38493486,Mere Bank Flats,E01006551
687,Mossley Hill Drive,-2.932147587,53.38467922,Mere Bank Flats,E01006551
688,Campbell Street,-2.984167322,53.40222152,,E01033756
689,Edge Lane Retail Park,-2.923496238,53.40800076,Edge Lane Retail Park,E01032509
690,Luke Street,-2.967883033,53.39119041,,E01006518
691,Pickwick Street,-2.966805194,53.39074071,,E01006518
692,Green Lane,-2.900431828,53.38647779,Menlove Gardens,E01006597
693,Menlove Avenue,-2.901961596,53.38629545,Menlove Court Flats,E01006597
694,Cromptons Lane,-2.89483695,53.38496479,Beechenhurst School,E01006597
695,Menlove Avenue,-2.895282138,53.38540191,Beechenhurst School,E01006597
696,Cromptons Lane,-2.897445154,53.38530476,,E01006597
697,Cromptons Lane,-2.895939616,53.38520821,Cromptons Lane,E01006597
698,Calderstones Road,-2.892748705,53.38360513,Calderstones Road,E01006539
699,Druids Cross Road,-2.892166398,53.38379825,Druids Cross Road,E01006796
700,Prescot Road,-2.914007649,53.41308058,Prescot Road,E01032508
701,Davidson Road,-2.915634899,53.41179169,Health Centre,E01032508
702,Tesco,-2.914382939,53.41304175,St Oswald's RC Primary School,E01032508
703,Bluefields Street,-2.969648829,53.39478065,,E01006673
704,Modred Street,-2.965190387,53.38915375,,E01006676
705,Merlin Street,-2.965152606,53.38947766,,E01006676
706,Greaves Street,-2.968386342,53.38554127,Council Offices,E01006632
707,Aigburth Drive,-2.94844406,53.38664525,St Marys RC High School,E01006520
708,Hartington Road,-2.944602257,53.38901284,,E01006549
709,Ullet Road,-2.944285751,53.38897939,Nursing Home,E01006549
710,Great Crosshall Street,-2.982627707,53.41242765,Liverpool John Moores Univrsity,E01006648
711,Shaw Street,-2.967244405,53.41209484,,E01006646
712,Royal Liverpool Hospital,-2.967831408,53.40945633,Royal Liverpool Hospital,E01006747
713,Daulby Street,-2.966971988,53.40870823,Dental Hospital,E01006747
714,Lime Grove,-2.94904965,53.39291471,,E01006552
715,Sefton Drive,-2.948985971,53.38802524,,E01006675
716,Banks Road,-2.892141237,53.34879558,,E01006743
717,Church Road,-2.914682023,53.38912004,Public Toilets,E01006593
718,Penny Lane,-2.914624007,53.38921936,Taxi Rank,E01006593
719,Penny Lane,-2.914634799,53.38972265,,E01006593
720,The Metquarter,-2.985441811,53.4072538,Met Quarter,E01033760
721,The Metquarter,-2.985518674,53.40732508,Met Quarter,E01033762
722,Victoria Street,-2.985688063,53.40749447,Met Quarter,E01033762
723,Pickop Street,-2.988036164,53.41144816,,E01033762
724,Cockspur Street,-2.988635084,53.41197355,Petrol Station,E01033751
725,Oriel Street,-2.989487173,53.41433058,Liverpool Honda,E01033751
726,Paul Street,-2.9898555,53.41464214,Liverpool Honda,E01033751
727,Fontenoy Street,-2.983784281,53.40973943,Blackburn Chambers,E01033762
728,Endfield Park,-2.911277791,53.36420183,,E01006685
729,South Parkside Drive,-2.904361107,53.43067331,,E01006619
730,Norris Green Road,-2.903899517,53.42949027,,E01006619
731,Marlfield Road,-2.903828853,53.42970654,,E01006619
732,South Parkside Drive,-2.903589824,53.43120949,,E01006619
733,Crown Road,-2.900126022,53.43253903,,E01006627
734,Crown Road,-2.900800772,53.43241708,,E01006627
735,Allerford Road,-2.89714284,53.4338289,,E01006627
736,Deysbrook Lane,-2.893519408,53.43402686,,E01006627
737,Deysbrook Way,-2.89121432,53.43464633,,E01006624
738,Beechwood Gardens,-2.919011521,53.35975591,White Oak Lodge,E01006687
739,Bayfield Road,-2.918718187,53.36218518,Liverpool Cricket Ground,E01006684
740,New Hawthorne Gardens,-2.92595765,53.38003519,Mossley Hill Hospital,E01006524
741,Mossley Hill Hospital,-2.926285985,53.37992477,Mossley Hill Hosp,E01006524
742,Woolton Road,-2.892703814,53.35774436,War Memorial,E01006742
743,Cardwell Road,-2.894537793,53.35850367,War Memorial,E01006742
744,Pembroke Place,-2.972578391,53.40915707,Norton Street,E01033758
745,Bagot Street,-2.934110939,53.39675396,Post Office,E01006723
746,Georges Dock Way,-2.994318317,53.40407901,Georges Dock Way,E01033752
747,Goree,-2.993646174,53.40428237,Georges Dock Way,E01033752
748,Rumford Street,-2.993334108,53.40767379,,E01033752
749,Old Hall Street,-2.992890229,53.4079921,,E01033752
750,Bixteth Street,-2.990839107,53.40906085,Merury Court,E01033752
751,Moorfields,-2.990196742,53.40925494,,E01033752
752,Smithfield Street,-2.988972547,53.41030781,,E01033755
753,Moorfields Station,-2.989813001,53.40892553,Tithebarn Street,E01033752
754,Kempston Street,-2.975596812,53.41023808,Midland Bank,E01033758
755,Kempston Street,-2.975190289,53.41022343,Midland Bank,E01033758
756,St Marys High School,-2.936513485,53.38836646,St Marys High School,E01006551
757,Greenbank college,-2.93002024,53.38502841,Westfield Childrens Home,E01006551
758,Campbell Street,-2.984031355,53.40219568,,E01033756
759,York Street,-2.983052622,53.40214981,,E01033756
760,Colquitt Street,-2.977934216,53.40064575,,E01006513
761,Cornwallis Street,-2.977975619,53.40048361,,E01033761
762,Dryden Road,-2.931521773,53.4055923,Wavertree Technology Park,E01006692
763,East Prescot Road,-2.876543115,53.42099305,,E01006642
764,Ashover Avenue,-2.86894556,53.42032947,,E01006643
765,Shakespeare Street,-2.896638031,53.34904053,,E01006740
766,Waterpark Drive,-2.879668568,53.43608027,Waterpark Drive,E01006644
767,Waterpark Drive,-2.879767414,53.43649302,,E01006644
768,Park Avenue,-2.922293252,53.38020738,Stapely Hospital,E01006524
769,Park Avenue,-2.922184346,53.38003744,Stapely Hospital,E01006524
770,Barons Hey,-2.875287797,53.4367956,,E01006644
771,Banks Lane,-2.890171718,53.34583495,Banks Road,E01006738
772,Nevitte Close,-2.870830561,53.43893157,,E01006671
773,Queens Drive,-2.896574413,53.40253401,St David's Church,E01006579
774,Score Lane,-2.895242376,53.40284962,,E01006576
775,Greek Street,-2.973015395,53.40918947,Norton Street,E01033758
776,Eaton Road,-2.892023244,53.41864916,,E01006570
777,Eaton Road Stand A,-2.892399169,53.41863736,,E01006570
778,Pilch Bank Road,-2.887032579,53.4188841,Greyhound Public House,E01006571
779,Gala Close,-2.88553671,53.41930869,Blackmoor Drive,E01006571
780,Epworth Street,-2.966484691,53.41043804,Royal Liverpool Hospital,E01006747
781,Epworth Street,-2.966188143,53.41062921,Royal Liverpool Hospital,E01006747
782,Pembroke Place,-2.972849946,53.40919082,Norton Street,E01033758
783,Monument Place,-2.972246469,53.40911483,Norton St,E01033758
784,Greek Street,-2.972875925,53.40901083,The Windsor Ph,E01006747
785,Kendal Park,-2.893614204,53.42634969,Blackmoor Park Primary School,E01006640
786,Halftide Wharf,-2.990241668,53.3937037,Customs & Excise Building,
787,Queens Dock,-2.990110941,53.39390254,Customs & Excise Building,E01033750
788,Main Entrance,-2.95908345,53.3990908,The Womens Hospital,E01006512
789,Erskine Street,-2.967631559,53.41125573,Prescot Street,E01006747
790,Croxteth Drive,-2.943657954,53.38778883,,E01006522
791,Rudyard Road,-2.89881647,53.41684539,Rudyard Road,E01006567
792,Thomas Lane,-2.894033885,53.41766333,Thomas Lane,E01006570
793,Hartsbourne Avenue,-2.878175537,53.40017187,,E01006769
794,Banks Lane,-2.890152579,53.34563734,,E01006739
795,Webster Street,-2.983398911,53.41064149,Flyover,E01033762
796,Vandyke Street,-2.944391015,53.39373369,,E01006556
797,Vandyke Street,-2.944282097,53.3928896,Arundel Avenue,E01006552
798,Arundel Avenue,-2.944390966,53.39033588,,E01006549
799,Arundel Avenue,-2.944552654,53.39084697,,E01006549
800,Lodge Lane,-2.948704916,53.39499389,,E01006556
801,Lomond Road,-2.929144627,53.4104019,Grampian Road,E01006692
802,Salisbury Road,-2.938378748,53.39796994,Martyrs Church,E01006726
803,Livingstone Drive South,-2.940964929,53.37817395,,E01006521
804,Livingstone Drive South,-2.940629315,53.37795188,,E01006521
805,Vandries Street,-2.999818988,53.41670747,,E01006776
806,Galton Street,-2.999211759,53.41326979,,E01033751
807,Mossley Hill Drive,-2.93699673,53.37545456,,E01006521
808,Mossley Hill Drive,-2.937119529,53.37557045,,E01006521
809,Orphan Street,-2.958501582,53.40130675,,E01006512
810,Orphan Street,-2.958939022,53.40203134,,E01006751
811,Gibraltar row,-2.99820021,53.40990741,Royal Insurance,E01033753
812,Georges Pier Head,-2.994508162,53.40383473,Mann Island,E01033752
813,Mann Island,-2.994895187,53.40366072,Mersyside Maritime Museum,E01033752
814,Georges Pier Head,-2.994796417,53.4039402,Georges Dock Way,E01033752
815,Kings Parade,-2.98991545,53.39519857,Wapping Bridge,E01033750
816,ACC Liverpool,-2.989494239,53.39519308,Wapping Bridge,E01033750
817,Parkfield Road,-2.948146317,53.38001378,,E01006523
818,Lark Lane,-2.94836938,53.37990414,,E01006522
819,Hargreaves Road,-2.945760807,53.37887314,,E01006523
820,Hargreaves Road,-2.945713724,53.37878362,,E01006523
821,London Road,-2.972453349,53.40895135,Greek Street,E01006747
822,Druidsville Road,-2.890008794,53.38198961,Druidsville Road,E01006532
823,Queens Dock,-2.987649455,53.3921611,Kings Parade,E01033750
824,Queens Dock,-2.986731919,53.39215071,Coburg Wharf,E01033750
825,Sandon Street,-2.963078956,53.39686533,,E01006512
826,Wavertree Boulevard South,-2.934489917,53.4058118,Wavertree Technology Park,E01006690
827,Wavertree Boulevard South,-2.935386783,53.40555309,Wavertree Technology Park,E01006690
828,Domville Road,-2.914335519,53.40802632,Edge Lane Drive,E01006716
829,Maddocks Street,-2.915890783,53.41109759,Old Omnibus PH,E01032508
830,Port of Liverpool Building,-2.994557262,53.40400511,Georgs Dock Way,E01033752
831,Maryland Street,-2.97011095,53.40253434,Everyman Theatre,E01006513
